id,tokens,slots,intent
0,Add Don and Sherri to my Meditate to Sounds of Nature playlist,O B-entity_name I-entity_name I-entity_name O B-playlist_owner B-playlist I-playlist I-playlist I-playlist I-playlist O,AddToPlaylist
1,put United Abominations onto my rare groove playlist,O B-entity_name I-entity_name O B-playlist_owner B-playlist I-playlist O,AddToPlaylist
2,add the tune by misato watanabe to the Trapeo playlist,O O B-music_item O B-artist I-artist O O B-playlist O,AddToPlaylist
3,add this artist to my this is miguel bosé playlist,O O B-music_item O B-playlist_owner B-playlist I-playlist I-playlist I-playlist O,AddToPlaylist
4,add heresy and the hotel choir to the evening acoustic playlist,O B-entity_name I-entity_name I-entity_name I-entity_name I-entity_name O O B-playlist I-playlist O,AddToPlaylist
5,Please add Jency Anthony to my playlist This Is Mozart,O O B-artist I-artist O B-playlist_owner O B-playlist I-playlist I-playlist,AddToPlaylist
6,Add an album to my list La Mejor Música Dance 2017,O O B-music_item O B-playlist_owner O B-playlist I-playlist I-playlist I-playlist I-playlist,AddToPlaylist
7,Add shame on you to my masters of metal playlist,O B-entity_name I-entity_name I-entity_name O B-playlist_owner B-playlist I-playlist I-playlist O,AddToPlaylist
8,Add artist to playlist Epic Gaming,O B-music_item O O B-playlist I-playlist,AddToPlaylist
9,Add The Private Collection onto my Cena Elegante playlist please,O B-entity_name I-entity_name I-entity_name O B-playlist_owner B-playlist I-playlist O O,AddToPlaylist
10,Put another track in my electronica & dance playlist,O O B-music_item O B-playlist_owner B-playlist I-playlist I-playlist O,AddToPlaylist
11,add this album to the playlist called dishwashing,O O B-music_item O O O O B-playlist,AddToPlaylist
12,add Classic Punk by Chab,O B-playlist I-playlist O B-artist,AddToPlaylist
13,add megon mcdonough indie songs for slackers to my playlist artist,O B-artist I-artist B-playlist I-playlist I-playlist I-playlist O B-playlist_owner O B-music_item,AddToPlaylist
14,Add the name Shall We Dance to playlist Rock,O O O B-entity_name I-entity_name I-entity_name O O B-playlist,AddToPlaylist
15,add Lee Seung gi to my Baila Reggaeton playlist,O B-artist I-artist I-artist O B-playlist_owner B-playlist I-playlist O,AddToPlaylist
16,put frank farian on my Deep Dark Indie Folk playlist,O B-artist I-artist O B-playlist_owner B-playlist I-playlist I-playlist I-playlist O,AddToPlaylist
17,Include hohenfriedberger marsch to my Novedades Pop list,O B-entity_name I-entity_name O B-playlist_owner B-playlist I-playlist O,AddToPlaylist
18,add alexandra govere to my anochecer urbano playlist,O B-artist I-artist O B-playlist_owner B-playlist I-playlist O,AddToPlaylist
19,Please put maimi yajima 's song onto Operación Bikini,O O B-artist I-artist O B-music_item O B-playlist I-playlist,AddToPlaylist
20,For my playlist chill add the name Cater Fe She,O B-playlist_owner O B-playlist O O O B-entity_name I-entity_name I-entity_name,AddToPlaylist
21,add when ice met cream to This Is Alejandro Fernández playlist,O B-entity_name I-entity_name I-entity_name I-entity_name O B-playlist I-playlist I-playlist I-playlist O,AddToPlaylist
22,Add Banana Republic to my this is puccini playlist,O B-entity_name I-entity_name O B-playlist_owner B-playlist I-playlist I-playlist O,AddToPlaylist
23,add the Chamillionaire track to lina's wedding classics playlist,O O B-artist B-music_item O B-playlist_owner B-playlist I-playlist O,AddToPlaylist
24,put this Kan Mikami tune on fresh finds cyclone,O O B-artist I-artist B-music_item O B-playlist I-playlist I-playlist,AddToPlaylist
25,add mike mogis onto my crate diggers anonymous playlist,O B-artist I-artist O B-playlist_owner B-playlist I-playlist I-playlist O,AddToPlaylist
26,Add Jon McLaughlin to my forever country playlist,O B-artist I-artist O B-playlist_owner B-playlist I-playlist O,AddToPlaylist
27,add sheila e to my i love my neo soul playlist,O B-artist I-artist O B-playlist_owner B-playlist I-playlist I-playlist I-playlist I-playlist O,AddToPlaylist
28,Can you add something from Method Man to my this is mozart playlist,O O O O O B-artist I-artist O B-playlist_owner B-playlist I-playlist I-playlist O,AddToPlaylist
29,Add an artist to my Hype list,O O B-music_item O B-playlist_owner B-playlist O,AddToPlaylist
30,add track to my playlist a sudden rainstorm,O B-music_item O B-playlist_owner O B-playlist I-playlist I-playlist,AddToPlaylist
31,please add John Deacon to the funtime activity playlist,O O B-artist I-artist O O B-playlist I-playlist O,AddToPlaylist
32,Add track to this is puccini,O B-music_item O B-playlist I-playlist I-playlist,AddToPlaylist
33,Add irving berlin to my dishwashing,O B-artist I-artist O B-playlist_owner B-playlist,AddToPlaylist
34,Add As I Was Going to St Ives to the fantasía playlist,O B-entity_name I-entity_name I-entity_name I-entity_name I-entity_name I-entity_name I-entity_name O O B-playlist O,AddToPlaylist
35,I want lay down your arms in the indie español playlist,O O B-entity_name I-entity_name I-entity_name I-entity_name O O B-playlist I-playlist O,AddToPlaylist
36,Add Kevin Cadogan to the 80s Classic Hits list,O B-artist I-artist O O B-playlist I-playlist I-playlist O,AddToPlaylist
37,Put Kim Kibum in my the martin garrix show playlist,O B-artist I-artist O B-playlist_owner B-playlist I-playlist I-playlist I-playlist O,AddToPlaylist
38,Can Super Turnt Up get added to my emotron playlist?,O B-entity_name I-entity_name I-entity_name O O O B-playlist_owner B-playlist O,AddToPlaylist
39,Add the name as with gladness men of old to my ultimate 90s playlist,O O O B-entity_name I-entity_name I-entity_name I-entity_name I-entity_name I-entity_name O B-playlist_owner B-playlist I-playlist O,AddToPlaylist
40,add this song onto hip hop gaming playlist,O O B-music_item O B-playlist I-playlist I-playlist O,AddToPlaylist
41,Add Hatfield and the North to my Hot House playlist,O B-entity_name I-entity_name I-entity_name I-entity_name O B-playlist_owner B-playlist I-playlist O,AddToPlaylist
42,Add chen jiafeng to Ultimate 00s,O B-artist I-artist O B-playlist I-playlist,AddToPlaylist
43,Add the trey gunn tune to my French N' Heavy playlist,O O B-artist I-artist B-music_item O B-playlist_owner B-playlist I-playlist I-playlist O,AddToPlaylist
44,add this track to morning classical,O O B-music_item O B-playlist I-playlist,AddToPlaylist
45,add tune to Soft Rock playlist,O B-music_item O B-playlist I-playlist O,AddToPlaylist
46,add to laundry playlist with this song,O O B-playlist O O O B-music_item,AddToPlaylist
47,Add a track to my Alok House Party playlist,O O B-music_item O B-playlist_owner B-playlist I-playlist I-playlist O,AddToPlaylist
48,Place this tune in workout remix,O O B-music_item O B-playlist I-playlist,AddToPlaylist
49,I'd like to add the artist Jesper Kyd onto my fresh electronic playlist,O O O O O B-music_item B-artist I-artist O B-playlist_owner B-playlist I-playlist O,AddToPlaylist
50,add this artist named Cleopatra Stratan to my playlist named 30 Before 20 Masterworks by Teenagers,O O B-music_item O B-artist I-artist O B-playlist_owner O O B-playlist I-playlist I-playlist I-playlist I-playlist I-playlist,AddToPlaylist
51,add erik santos in my playlist Metal Xplorer,O B-artist I-artist O B-playlist_owner O B-playlist I-playlist,AddToPlaylist
52,Add the tune to Your Favorite Slaughterhouse playlist,O O B-music_item O B-playlist I-playlist I-playlist O,AddToPlaylist
53,add Joe Gibbs to my The Bachelor Party playlist,O B-artist I-artist O B-playlist_owner B-playlist I-playlist I-playlist O,AddToPlaylist
54,Please add Liberty Forever to the road trip playlist,O O B-entity_name I-entity_name O O B-playlist I-playlist O,AddToPlaylist
55,add Salil Chowdhury to my 35 Soul Classics 1970 to 1975 playlsit,O B-artist I-artist O B-playlist_owner B-playlist I-playlist I-playlist I-playlist I-playlist I-playlist O,AddToPlaylist
56,I need to add to the all things post starting with my favorites from the silence,O O O O O O B-playlist I-playlist I-playlist O O B-playlist_owner O O B-entity_name I-entity_name,AddToPlaylist
